GeneID	logFC	logCPM	PValue	FDR
ENSMUSG00000026407	10.604408086452015	13.733537231950477	5.155062227193825e-219	6.479913219582638e-216
ENSMUSG00000026208	9.410960478324554	15.343644871531847	3.412212536151496e-215	2.1445755789712152e-212
ENSMUSG00000079588	9.944987732308666	11.778613983821344	8.256867405307546e-169	3.4596274428238614e-166
ENSMUSG00000061816	15.187934543959049	15.586172421169982	3.5073364286353755e-150	1.1021804726986667e-147
ENSMUSG00000042751	-7.444849972920589	11.049656678822762	1.6530694455971968e-131	4.155816586231353e-129
ENSMUSG00000015222	-7.476138375746915	12.827877512061088	3.053192315308739e-131	6.396437900571808e-129
ENSMUSG00000048814	-7.755195703132609	11.051241143238606	2.290127300584839e-125	4.11241430976449e-123
ENSMUSG00000041670	-8.000168807888848	10.989866177953111	2.779844502045322e-125	4.367830673838712e-123
ENSMUSG00000055567	-7.668533198368133	12.46466280001854	5.216644847873023e-122	7.285913970862654e-120
ENSMUSG00000067653	8.348207438683454	11.711241975629953	3.6964507786090556e-114	4.6464386287115825e-112
ENSMUSG00000042182	-7.198760698897299	11.258304156123694	5.548249227997778e-110	6.3401357087210975e-108
ENSMUSG00000026308	9.493532731373028	10.984508627805868	5.857825972451869e-104	6.136072706143333e-102
ENSMUSG00000044708	-8.054635592324516	12.229683020989595	2.4817856557355306e-101	2.3996958225073555e-99
ENSMUSG00000090071	-8.324048044189245	10.079574816082847	1.9416343684852626e-99	1.7433102865614108e-97
ENSMUSG00000026587	-7.688922130960352	10.406350593189899	2.7719371043083748e-99	2.322883293410418e-97
ENSMUSG00000025964	-5.97393749858626	11.542339802761147	3.069373216334763e-99	2.4113763330829983e-97
ENSMUSG00000007122	10.798362224293495	14.57716771542838	5.854531525793316e-97	4.328909487013058e-95
ENSMUSG00000026204	-6.976528278738338	11.090131360300383	1.4295075288219936e-96	9.982727576273588e-95
ENSMUSG00000004110	-7.352355368015964	10.17446475364777	3.0537699086607094e-90	2.0203098816771116e-88
ENSMUSG00000050711	-7.293554527703889	10.788051548193884	2.1362672103931557e-89	1.3426439417320984e-87
ENSMUSG00000026442	-7.077637429176387	12.086149291328551	5.799894313333094e-89	3.471651024695095e-87
ENSMUSG00000026100	6.854377342583007	9.661603646596896	2.1178111995523864e-87	1.2100403081078862e-85
ENSMUSG00000026443	-6.397826459122736	9.996037998896991	5.478460399547722e-87	2.9940977053180373e-85
ENSMUSG00000038576	-6.74293813470203	9.822443239685295	6.213183130299024e-87	3.254154664494114e-85
ENSMUSG00000033740	-8.574685367924166	9.908310501813123	1.3570102100350992e-86	6.823047336056479e-85
ENSMUSG00000028354	-7.275366024640384	9.408214442174387	5.358545900036375e-84	2.590650844748355e-82
